train_loss,train_mse,train_mae,train_r2,train_e_mse,train_e_mae,train_e_r2,train_e_x_mse,train_e_x_mae,train_e_y_mse,train_e_x_r2,train_e_y_mae,train_e_y_r2,train_e_z_mse,train_e_z_mae,train_e_z_r2,train_p_mse,train_p_mae,train_p_r2,train_p_x_mse,train_p_x_mae,train_p_x_r2,train_p_y_mse,train_p_y_mae,train_p_y_r2,train_p_z_mse,train_p_z_mae,train_p_z_r2,train_p_t_mae,train_p_t_mse,train_p_t_r2,val_loss,val_mse,val_mae,val_r2,val_e_mse,val_e_mae,val_e_r2,val_e_x_mse,val_e_x_mae,val_e_y_mse,val_e_x_r2,val_e_y_mae,val_e_y_r2,val_e_z_mse,val_e_z_mae,val_e_z_r2,val_p_mse,val_p_mae,val_p_r2,val_p_x_mse,val_p_x_mae,val_p_x_r2,val_p_y_mse,val_p_y_mae,val_p_y_r2,val_p_z_mse,val_p_z_mae,val_p_z_r2,val_p_t_mae,val_p_t_mse,val_p_t_r2
0.07037166284818556,0.45403853232935504,-0.03781445882748159,0.7721188259053744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8245574641978365,0.45403853232935504,0.7721188259053744,0.09308695563440146,0.2566115840052368,0.31169294967086963,0.8714914567580359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8013184303238808,0.2566115840052368,0.871491456758036
0.040095236094925935,0.20858992924388683,-0.016203832823357276,0.8953090645313941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7284324389087248,0.20858992924388683,0.8953090645313941,0.040409600836770504,0.19185978501354362,0.08560021460633406,0.9039185157202425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7246142736723525,0.19185978501354362,0.9039185157202425
0.04783739043875924,0.29095783160743344,-0.01610155840385959,0.8539687576424602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7209717808570387,0.29095783160743344,0.8539687576424602,0.037042105344752205,0.18885186898342085,-0.05906553927179716,0.9054248522415151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7067131130562114,0.18885186898342085,0.9054248522415151
0.039460210398129546,0.2083992449994762,-0.015079093456776528,0.8954047658718874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7163591850468355,0.2083992449994762,0.8954047658718874,0.047974347575424896,0.19664616866616744,-0.06914345260510335,0.9015215455944607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7031648530227153,0.19664616866616744,0.9015215455944607
0.03723356351892428,0.18995388565268653,-0.015270537133404228,0.904662462723696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7132829173186479,0.18995388565268653,0.9046624627236959,0.039320656287872825,0.18752939276126973,0.05869895278664548,0.906087133465226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7124587282093169,0.18752939276126973,0.906087133465226
0.037409170164345744,0.19101672775537282,-0.015254923792330968,0.9041290248886488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7118988749300714,0.19101672775537282,0.9041290248886488,0.04805880476817364,0.200714717398235,0.22125713619832052,0.899484057506717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.754547115514836,0.200714717398235,0.899484057506717
0.037184893942187776,0.19043450447715443,-0.015530450062536783,0.9044212416898598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7100862621111175,0.19043450447715443,0.9044212416898598,0.33808944009916475,0.5070833430524968,0.014011868448493016,0.7460576887668503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7033000898490869,0.5070833430524968,0.7460576887668503
0.04318091083485994,0.23410155010173636,-0.016358595999711435,0.8825048238270007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7118848197107436,0.23410155010173636,0.8825048238270007,0.037966003340938616,0.1865780146936772,-0.009024049146912723,0.906563574123693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7043270087335883,0.1865780146936772,0.906563574123693
0.041933600643042114,0.23088281930500457,-0.01553502240656083,0.8841203042353077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7084805021708371,0.23088281930500457,0.8841203042353077,0.0734547418436375,0.2244207947375468,-0.06038155519777689,0.8876122861644101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7047767630388087,0.2244207947375468,0.88761228616441
0.03882715188572808,0.19738726637224238,-0.016345965152357297,0.9009316635880276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7069375609637618,0.19738726637224238,0.9009316635880275,0.4384367949736236,0.6124447383964698,0.03993384751679706,0.6932937240464959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7069165080679716,0.6124447383964698,0.6932937240464958
0.11800488386108934,0.876788357246642,-0.01571083308534327,0.5599413985411967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071213024359817,0.876788357246642,0.5599413985411967,0.03702895164829438,0.18378415102501539,-0.02124700300432884,0.9079627151239476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6995984615735508,0.18378415102501539,0.9079627151239476
0.03592038921088456,0.18284444124170682,-0.01515520776069757,0.9082306797770549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6935037512894895,0.18284444124170682,0.9082306797770549,0.03598424009629333,0.18148707434032402,-0.04190748756607197,0.9091130683458695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6930904023163763,0.18148707434032402,0.9091130683458695
